***SENSOR SELECTION,,,,
CH 1-Voltage(±1V),,,,
CH 2-Voltage(±1V),,,,
CH 3-Voltage(±1V),,,,
INTERNAL,,,,
*** Sampling Rate ,,,,
1 Data Per 10 Secs,,,,
*** Duration to Monitor  ,,,,
5 Hours (Stopped before 4h),,,,
Time(s),V1,V2,V3,°C
4540,-0.001597,0.817891,0.731629,20.9082
4550,-0.002662,0.817891,0.731629,20.9082
4560,-0.00213,0.699148,0.731629,20.9082
4570,-0.002662,0.769968,0.731629,20.9888
4580,-0.00213,0.694888,0.731097,20.9082
4590,-0.002662,0.654952,0.731097,20.9082
4600,-0.001597,0.633653,0.731097,20.9082
4610,-0.003195,0.663472,0.731097,20.9082
4620,-0.001597,0.69755,0.731629,20.9082
4630,-0.00213,0.71672,0.731629,20.9082
4640,-0.003727,0.662407,0.731097,20.9888
4650,-0.001597,0.685303,0.731097,20.9888
4660,-0.001597,0.682641,0.731097,20.9082
4670,-0.001597,0.739616,0.731097,20.9082
4680,-0.003195,0.689563,0.731097,20.9082
4690,-0.001597,0.679446,0.731097,20.9082
4700,-0.003727,0.705005,0.730564,20.9082
4710,-0.001597,0.656549,0.730564,20.9082
4720,-0.002662,0.63738,0.730564,20.9082
4730,-0.00213,0.633653,0.730032,20.9082
4740,-0.00213,0.629925,0.730564,20.9082
4750,-0.00213,0.63951,0.730032,20.9082
4760,-0.00213,0.646965,0.730032,20.9082
4770,-0.001597,0.64803,0.730032,20.9888
4780,-0.001597,0.644302,0.730032,20.9082
4790,-0.001597,0.652289,0.730032,20.9082
4800,-0.002662,0.658147,0.730032,20.9082
4810,-0.00213,0.658147,0.730032,20.9888
4820,-0.001597,0.658679,0.730032,20.9082
4830,-0.003195,0.660277,0.730032,20.9082
4840,-0.00213,0.659212,0.730032,20.9888
4850,-0.001597,0.659212,0.730032,20.9888
4860,-0.00213,0.676784,0.730032,20.9082
4870,-0.00213,0.646965,0.730032,20.9888
4880,-0.001597,0.653354,0.729499,20.9082
4890,-0.00213,0.659744,0.729499,20.9888
