***SENSOR SELECTION
CH 1-Voltage(�1V)
CH 2-Voltage(�1V)
INTERNAL
*** Sampling Rate 
1 Sample/s
*** Duration to Monitor  
5 Hours
Time(s),V1,V2,�C
322.000000,0.366880,0.530884,27.3535
323.000000,0.366880,0.531416,27.3535
324.000000,0.367412,0.527689,27.3535
325.000000,0.367412,0.519702,27.3535
326.000000,0.368477,0.519702,27.3535
327.000000,0.368477,0.510117,27.4341
328.000000,0.368477,0.506922,27.4341
329.000000,0.369542,0.506922,27.4341
330.000000,0.369542,0.501597,27.4341
331.000000,0.370074,0.484558,27.4341
332.000000,0.370074,0.500000,27.4341
333.000000,0.370607,0.517572,27.4341
334.000000,0.370607,0.526091,27.4341
335.000000,0.371139,0.509584,27.4341
336.000000,0.371139,0.490415,27.4341
337.000000,0.372204,0.521832,27.4341
338.000000,0.372204,0.497870,27.4341
339.000000,0.372737,0.488285,27.4341
340.000000,0.372737,0.502130,27.4341
341.000000,0.373269,0.549521,27.4341
342.000000,0.373802,0.530351,27.4341
343.000000,0.373802,0.530351,27.4341
344.000000,0.374334,0.527689,27.4341
345.000000,0.374867,0.539404,27.4341
346.000000,0.374867,0.533014,27.4341
347.000000,0.375399,0.530884,27.4341
348.000000,0.375399,0.529819,27.4341
349.000000,0.376464,0.527156,27.4341
350.000000,0.376464,0.529819,27.4341
351.000000,0.376464,0.547923,27.5146
352.000000,0.376997,0.546326,27.5146
353.000000,0.376997,0.542598,27.5146
354.000000,0.378062,0.543663,27.5146
355.000000,0.378062,0.539404,27.5146
356.000000,0.378062,0.536209,27.5146
357.000000,0.379127,0.531949,27.5146
358.000000,0.379127,0.533014,27.5146
359.000000,0.379127,0.531949,27.5146
360.000000,0.379659,0.545793,27.5146
361.000000,0.379659,0.540468,27.5146
362.000000,0.380724,0.532481,27.5146
363.000000,0.380724,0.530884,27.5146
364.000000,0.381257,0.538338,27.5146
365.000000,0.381257,0.535676,27.5146
366.000000,0.381789,0.532481,27.5146
367.000000,0.381789,0.530351,27.5146
368.000000,0.382321,0.529819,27.5146
369.000000,0.382321,0.533014,27.5146
370.000000,0.382854,0.547923,27.5146
371.000000,0.382854,0.551118,27.5146
372.000000,0.383386,0.546858,27.5146
373.000000,0.383919,0.533014,27.5146
374.000000,0.383919,0.526091,27.5146
375.000000,0.384451,0.522896,27.5146
376.000000,0.384451,0.522896,27.5146
377.000000,0.384984,0.529286,27.5146
378.000000,0.384984,0.528221,27.5146
379.000000,0.385516,0.490415,27.5146
380.000000,0.386049,0.499467,27.5146
381.000000,0.386049,0.502662,27.5146
382.000000,0.386581,0.515974,27.5146
383.000000,0.387114,0.518637,27.5146
384.000000,0.387114,0.518637,27.5146
385.000000,0.387646,0.525559,27.5146
386.000000,0.387646,0.527156,27.5146
387.000000,0.388179,0.529819,27.5146
388.000000,0.388179,0.530884,27.5146
389.000000,0.388711,0.541001,27.5146
390.000000,0.388711,0.534079,27.5952
391.000000,0.389776,0.535144,27.5952
392.000000,0.389776,0.536741,27.5952
393.000000,0.389776,0.543131,27.5952
394.000000,0.390309,0.536209,27.5952
395.000000,0.390309,0.536209,27.5952
396.000000,0.390841,0.535144,27.5952
397.000000,0.391374,0.535144,27.5952
398.000000,0.391374,0.543131,27.5952
399.000000,0.391906,0.548456,27.5952
400.000000,0.391906,0.543663,27.5952
401.000000,0.391906,0.540468,27.5952
402.000000,0.392439,0.551650,27.5952
403.000000,0.392439,0.572950,27.5952
404.000000,0.393504,0.569755,27.5952
405.000000,0.393504,0.548988,27.5952
406.000000,0.393504,0.546858,27.5952
407.000000,0.393504,0.543131,27.5952
408.000000,0.394568,0.560703,27.5952
409.000000,0.394568,0.568158,27.5952
410.000000,0.394568,0.569755,27.5952
411.000000,0.395101,0.572950,27.5952
412.000000,0.395634,0.570287,27.5952
413.000000,0.395634,0.568690,27.6758
414.000000,0.395634,0.570820,27.6758
415.000000,0.396166,0.573482,27.6758
416.000000,0.396166,0.580404,27.6758
417.000000,0.396698,0.574015,27.6758
418.000000,0.396698,0.574015,27.6758
419.000000,0.397231,0.580404,27.6758
420.000000,0.397231,0.580404,27.6758
421.000000,0.398296,0.576677,27.6758
422.000000,0.398296,0.579340,27.6758
423.000000,0.398296,0.578275,27.6758
424.000000,0.399361,0.578275,27.6758
425.000000,0.399361,0.584664,27.6758
426.000000,0.399361,0.576677,27.6758
427.000000,0.399361,0.579872,27.6758
428.000000,0.399893,0.587327,27.6758
429.000000,0.399893,0.580404,27.6758
430.000000,0.400426,0.573482,27.6758
431.000000,0.400426,0.567092,27.6758
432.000000,0.400426,0.564430,27.6758
433.000000,0.400958,0.564430,27.6758
434.000000,0.400958,0.574015,27.6758
435.000000,0.402023,0.569755,27.6758
436.000000,0.402023,0.569222,27.6758
437.000000,0.402023,0.567625,27.6758
438.000000,0.402023,0.572417,27.6758
439.000000,0.402556,0.568690,27.6758
440.000000,0.402556,0.561235,27.6758
441.000000,0.403088,0.558573,27.6758
442.000000,0.403621,0.562300,27.6758
443.000000,0.403621,0.576677,27.6758
444.000000,0.403621,0.576677,27.6758
445.000000,0.404153,0.574547,27.6758
446.000000,0.404153,0.568690,27.6758
447.000000,0.404686,0.564430,27.6758
448.000000,0.404686,0.562833,27.6758
449.000000,0.405218,0.562300,27.6758
450.000000,0.405218,0.564963,27.7563
451.000000,0.405218,0.572417,27.7563
452.000000,0.406283,0.576145,27.7563
453.000000,0.406283,0.576145,27.7563
454.000000,0.406283,0.571885,27.7563
455.000000,0.406816,0.576145,27.7563
456.000000,0.406816,0.576145,27.7563
457.000000,0.406816,0.576145,27.7563
458.000000,0.407348,0.576145,27.7563
459.000000,0.407881,0.574547,27.7563
460.000000,0.407881,0.574547,27.7563
461.000000,0.408945,0.582535,27.7563
462.000000,0.408945,0.565495,27.7563
463.000000,0.409478,0.561235,27.7563
464.000000,0.409478,0.559638,27.7563
465.000000,0.410011,0.552715,27.7563
466.000000,0.410011,0.550053,27.7563
467.000000,0.410543,0.550053,27.7563
468.000000,0.410543,0.552715,27.7563
469.000000,0.410543,0.552183,27.7563
470.000000,0.410543,0.556975,27.7563
471.000000,0.411608,0.560170,27.7563
472.000000,0.411608,0.567625,27.7563
473.000000,0.411608,0.573482,27.7563
474.000000,0.411608,0.577742,27.7563
475.000000,0.412140,0.561768,27.7563
476.000000,0.412140,0.562833,27.8369
477.000000,0.412673,0.565495,27.8369
478.000000,0.412673,0.563365,27.8369
479.000000,0.413205,0.562300,27.8369
480.000000,0.413205,0.567625,27.8369
481.000000,0.413205,0.560170,27.8369
482.000000,0.413738,0.560170,27.8369
483.000000,0.413738,0.568690,27.8369
484.000000,0.413738,0.563898,27.8369
485.000000,0.414270,0.555378,27.8369
486.000000,0.414270,0.555378,27.8369
487.000000,0.415335,0.542066,27.8369
488.000000,0.415335,0.542066,27.8369
489.000000,0.415335,0.550586,27.8369
490.000000,0.415335,0.543131,27.8369
491.000000,0.415335,0.537273,27.8369
