***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
INTERNAL
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 19-DEC-2022  11:54AM
Time(s),V,V,V,°C
19020,-0.057508,0.822151,0.820554,20.9082
19080,-0.056443,0.821619,0.820554,20.9888
19140,-0.057508,0.821619,0.816294,20.9082
19200,-0.057508,0.820554,0.821619,20.9082
19260,-0.058573,0.820554,0.817359,20.9082
19320,-0.055378,0.821086,0.821619,20.9082
19380,-0.054845,0.821086,0.820021,20.9082
19440,-0.054313,0.820554,0.822151,20.9082
19500,-0.055910,0.820554,0.820021,20.9082
19560,-0.056975,0.820554,0.814164,20.9082
19620,-0.053248,0.820554,0.818424,20.9082
19680,-0.052183,0.820021,0.817891,20.9082
19740,-0.051651,0.820021,0.817891,20.9082
19800,-0.050053,0.819489,0.818424,20.9082
19860,-0.050053,0.819489,0.817891,20.9082
19920,-0.050053,0.818956,0.817359,20.9082
19980,-0.050053,0.818424,0.817359,20.9082
20040,-0.050053,0.818424,0.814164,20.9082
20100,-0.050053,0.817359,0.816294,20.9082
20160,-0.050053,0.816826,0.816294,20.9082
20220,-0.050053,0.816826,0.817891,20.9082
20280,-0.050586,0.816826,0.820021,20.9082
20340,-0.050586,0.816826,0.818956,20.9082
20400,-0.050586,0.816294,0.820021,20.9082
20460,-0.050586,0.816294,0.819489,20.9082
20520,-0.051118,0.815761,0.819489,20.9082
20580,-0.051118,0.814696,0.819489,20.9082
20640,-0.051651,0.814696,0.819489,20.9082
20700,-0.095314,0.814164,0.819489,20.9082
20760,-0.051118,0.814164,0.819489,20.8276
20820,-0.052183,0.813631,0.819489,20.8276
20880,-0.052715,0.813631,0.806709,20.9082
20940,-0.052715,0.813631,0.783812,20.8276
21000,-0.052715,0.813631,0.775293,20.8276
21060,-0.052183,0.813099,0.768903,20.8276
21120,-0.052715,0.813099,0.766241,20.8276
21180,-0.052715,0.813631,0.732162,20.8276
21240,-0.053248,0.814164,0.761981,20.8276
21300,-0.053780,0.824813,0.760916,20.8276
21360,-0.052715,0.815229,0.779020,20.8276
21420,-0.053780,0.815761,0.796059,20.8276
21480,-0.053780,0.815761,0.822684,20.8276
21540,-0.054313,0.815761,0.816294,20.8276
21600,-0.054845,0.815229,0.816826,20.8276
21660,-0.055378,0.814696,0.816826,20.8276
21720,-0.055910,0.814164,0.817359,20.7471
21780,-0.055910,0.814164,0.816826,20.7471
21840,-0.056443,0.814164,0.818424,20.8276
21900,-0.055910,0.814164,0.818956,20.7471
21960,-0.055910,0.813631,0.818424,20.8276
22020,-0.055910,0.813631,0.825346,20.8276
22080,-0.055378,0.814164,0.820554,20.7471
22140,-0.055910,0.813631,0.820554,20.7471
22200,-0.056443,0.813631,0.820021,20.8276
22260,-0.056975,0.813099,0.820554,20.7471
22320,-0.057508,0.813631,0.819489,20.8276
22380,-0.058040,0.820554,0.820021,20.7471
22440,-0.058573,0.813631,0.819489,20.7471
22500,-0.060170,0.818424,0.820021,20.6665
22560,-0.060703,0.814164,0.821086,20.7471
22620,-0.059638,0.813631,0.821619,20.7471
22680,-0.060170,0.820554,0.821619,20.7471
22740,-0.060170,0.813099,0.822151,20.7471
22800,-0.061768,0.812566,0.823216,20.7471
22860,-0.061768,0.812566,0.822151,20.7471
22920,-0.062300,0.812034,0.791267,20.7471
22980,-0.063898,0.812034,0.776358,20.7471
23040,-0.064963,0.812034,0.768370,20.7471
23100,-0.064430,0.811501,0.759851,20.6665
23160,-0.063898,0.811501,0.749734,20.6665
23220,-0.064430,0.810969,0.749734,20.6665
23280,-0.064430,0.811501,0.757188,20.6665
23340,-0.064963,0.811501,0.755591,20.7471
23400,-0.064963,0.810969,0.756656,20.6665
23460,-0.064963,0.810969,0.762513,20.6665
23520,-0.065495,0.810436,0.777423,20.6665
23580,-0.065495,0.802982,0.780085,20.7471
23640,-0.066028,0.808307,0.787540,20.7471
23700,-0.066560,0.809372,0.792332,20.7471
23760,-0.066560,0.809904,0.799787,20.7471
23820,-0.066560,0.810436,0.806709,20.7471
23880,-0.067092,0.809904,0.813099,20.7471
23940,-0.066560,0.820021,0.807774,20.7471
24000,-0.067625,0.814164,0.829606,20.6665
24060,-0.067625,0.811501,0.823749,20.7471
24120,-0.067092,0.813099,0.822684,20.6665
24180,-0.067625,0.812566,0.822684,20.6665
24240,-0.067625,0.813631,0.824281,20.6665
24300,-0.067625,0.814164,0.823749,20.6665
24360,-0.067625,0.813099,0.831203,20.6665
24420,-0.067092,0.811501,0.823749,20.6665
24480,-0.067092,0.811501,0.824281,20.6665
24540,-0.066028,0.811501,0.823749,20.6665
24600,-0.066560,0.811501,0.824281,20.6665
24660,-0.066028,0.813631,0.824813,20.7471
24720,-0.066560,0.811501,0.824813,20.6665
24780,-0.066028,0.812034,0.824813,20.6665
24840,-0.065495,0.811501,0.825346,20.6665
24900,-0.065495,0.811501,0.825878,20.6665
24960,-0.066028,0.812034,0.825878,20.6665
25020,-0.065495,0.812034,0.825878,20.6665
25080,-0.065495,0.812034,0.825878,20.6665
25140,-0.064963,0.812034,0.825346,20.7471
25200,-0.064963,0.812034,0.825878,20.6665
25260,-0.064963,0.812034,0.825878,20.6665
25320,-0.065495,0.812034,0.825878,20.6665
25380,-0.064963,0.812566,0.826411,20.6665
25440,-0.064963,0.812566,0.826411,20.6665
25500,-0.064430,0.812566,0.826943,20.6665
25560,-0.064430,0.812034,0.826943,20.6665
25620,-0.064430,0.812566,0.827476,20.6665
25680,-0.063898,0.812566,0.827476,20.6665
25740,-0.064430,0.813099,0.826943,20.6665
25800,-0.063898,0.813099,0.826943,20.6665
25860,-0.063898,0.813099,0.826943,20.6665
25920,-0.063365,0.813099,0.826411,20.6665
25980,-0.063898,0.813099,0.826411,20.6665
26040,-0.063365,0.813099,0.826411,20.6665
26100,-0.062833,0.813099,0.826943,20.6665
26160,-0.062833,0.813099,0.815761,20.6665
26220,-0.063365,0.813099,0.820554,20.6665
26280,-0.062833,0.813631,0.817359,20.6665
26340,-0.062833,0.813631,0.825346,20.6665
26400,-0.062833,0.813631,0.826411,20.5859
26460,-0.062300,0.813631,0.826943,20.6665
26520,-0.062833,0.813631,0.827476,20.6665
26580,-0.062300,0.813631,0.828008,20.6665
26640,-0.061768,0.813631,0.828008,20.6665
26700,-0.062300,0.813631,0.828008,20.6665
26760,-0.062300,0.814164,0.828008,20.6665
