***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 12-DEC-2022  02:52PM
Time(s),V,V,V
24000,0.030351,0.698615,0.724707
24060,0.030351,0.698083,0.724707
24120,0.030351,0.697550,0.724174
24180,0.030351,0.697018,0.724174
24240,0.029819,0.697018,0.723642
24300,0.029819,0.696485,0.723110
24360,0.029819,0.695953,0.723110
24420,0.029819,0.695953,0.723110
24480,0.029819,0.695420,0.722577
24540,0.029819,0.694888,0.722045
24600,0.029819,0.694888,0.722045
24660,0.029286,0.694356,0.721512
24720,0.029819,0.693823,0.721512
24780,0.029286,0.693823,0.720980
24840,0.029286,0.693291,0.720980
24900,0.029286,0.693291,0.720447
24960,0.029286,0.693291,0.720447
25020,0.029286,0.692758,0.719915
25080,0.029286,0.692758,0.719382
25140,0.029286,0.692758,0.719382
25200,0.028754,0.692226,0.718850
25260,0.028754,0.692226,0.718850
25320,0.028754,0.691693,0.718317
25380,0.028754,0.691693,0.718317
25440,0.028754,0.691693,0.717785
25500,0.028754,0.691161,0.717785
25560,0.028754,0.691161,0.717252
25620,0.028754,0.690628,0.717252
25680,0.028221,0.690628,0.716720
25740,0.028221,0.690628,0.716720
25800,0.028221,0.690096,0.716187
25860,0.028221,0.690096,0.716187
25920,0.028221,0.690096,0.716187
25980,0.028221,0.689563,0.715655
26040,0.028221,0.689563,0.715655
26100,0.028221,0.689563,0.715122
26160,0.028221,0.689031,0.715122
26220,0.027689,0.689031,0.714590
26280,0.028221,0.689031,0.714590
26340,0.027689,0.688498,0.714057
26400,0.027689,0.688498,0.714057
26460,0.027689,0.688498,0.714057
26520,0.027689,0.687966,0.713525
26580,0.027689,0.687966,0.713525
26640,0.027689,0.687966,0.712992
26700,0.027156,0.687433,0.712992
26760,0.027689,0.687433,0.712460
26820,0.027156,0.687433,0.712460
26880,0.027156,0.686901,0.712460
26940,0.027156,0.686901,0.711927
27000,0.027156,0.686901,0.711927
27060,0.027156,0.686368,0.711395
27120,0.027156,0.686368,0.711395
27180,0.027156,0.686368,0.710862
27240,0.027156,0.685836,0.710862
27300,0.027156,0.685836,0.710862
27360,0.027156,0.685836,0.710330
27420,0.027156,0.685303,0.710330
27480,0.027156,0.685303,0.709797
27540,0.026624,0.685303,0.709797
27600,0.026624,0.685303,0.709797
27660,0.026624,0.684771,0.709265
27720,0.026624,0.684771,0.709265
27780,0.026624,0.684771,0.708733
27840,0.026624,0.684238,0.708733
27900,0.026624,0.684238,0.708733
27960,0.026624,0.683706,0.708200
28020,0.026624,0.683706,0.708200
28080,0.026624,0.683706,0.707668
28140,0.026624,0.683706,0.707668
28200,0.026091,0.683173,0.707668
28260,0.026091,0.683173,0.707135
28320,0.026624,0.682641,0.707135
28380,0.026091,0.682641,0.706603
28440,0.026091,0.682641,0.706603
28500,0.026091,0.682641,0.706603
28560,0.026091,0.682108,0.706070
28620,0.026091,0.682108,0.706070
28680,0.026091,0.682108,0.706070
28740,0.026091,0.681576,0.705538
28800,0.026091,0.681576,0.705538
28860,0.026091,0.681576,0.705005
28920,0.026091,0.681576,0.705005
28980,0.026091,0.681043,0.705005
29040,0.025559,0.681043,0.704473
29100,0.025559,0.681043,0.704473
29160,0.025559,0.680511,0.704473
29220,0.025559,0.680511,0.703940
29280,0.025559,0.680511,0.703940
29340,0.025559,0.680511,0.703408
29400,0.025559,0.679979,0.703408
29460,0.025559,0.679979,0.703408
29520,0.025559,0.679979,0.702875
29580,0.025559,0.679446,0.702875
29640,0.025026,0.679446,0.702875
29700,0.025026,0.679446,0.702343
29760,0.025026,0.679446,0.702343
29820,0.025026,0.678914,0.702343
29880,0.025026,0.678914,0.701810
29940,0.025026,0.678914,0.701810
30000,0.025026,0.678914,0.701810
30060,0.025026,0.678381,0.701278
30120,0.025026,0.678381,0.701278
30180,0.025026,0.678381,0.701278
30240,0.025026,0.678381,0.700745
30300,0.025026,0.677849,0.700745
